,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
61,FDL51,OUT017,3514.899839212393
62,NCY42,OUT027,3413.7492817134225
63,FDR07,OUT017,1504.6161662107902
64,FDN40,OUT045,2460.115305271185
65,FDB35,OUT027,2421.712718617562
66,FDA22,OUT017,2665.97465493525
67,NCL06,OUT046,3945.707726350671
68,FDI35,OUT013,3103.1829853800396
69,NCW42,OUT045,3519.9019302108227
70,NCX06,OUT049,3115.464270545733
71,FDC37,OUT027,2823.8441264130597
72,FDZ14,OUT018,1747.3637886960732
73,DRG49,OUT049,3942.218866043187
74,NCG06,OUT045,3875.5969075530575
75,DRC36,OUT045,2877.625027607177
76,FDV21,OUT019,334.4909672678243
77,FDB53,OUT046,2420.103936713634
78,DRP47,OUT019,740.3410176486113
79,FDA14,OUT013,2241.431308937044
80,DRC24,OUT035,2596.4095658224333
81,FDW21,OUT018,1413.3244077795493
82,NCH29,OUT046,1620.4810276703988
83,FDU58,OUT013,3215.9943414598574
84,FDY27,OUT017,2956.0448406363953
85,FDV56,OUT035,1831.450132954731
86,FDT59,OUT046,3745.4929910896526
87,FDB23,OUT046,3670.3075888634185
88,FDR49,OUT045,782.5650593361527
89,FDB03,OUT010,768.2491315596001
90,FDN39,OUT045,2630.6984108359643
91,FDX02,OUT027,5464.553380496609
92,FDQ16,OUT027,2823.8441264130597
93,FDU35,OUT018,1417.27685259192
94,NCT29,OUT013,1964.7044803865094
95,FDZ27,OUT046,813.0977471206736
96,FDN57,OUT017,2102.3132764183288
97,FDA03,OUT018,2017.616361010777
98,FDZ36,OUT045,3059.7663486165156
99,NCU05,OUT013,1325.303898355036
100,FDT39,OUT018,2286.889447258866
101,FDK60,OUT017,1623.8635445086693
102,FDZ25,OUT017,2810.4222722106915
103,FDG12,OUT046,1979.0711075887325
104,DRB01,OUT019,557.5119964324147
105,NCC43,OUT027,5895.39732024028
106,FDX13,OUT019,730.233191573333
107,FDM22,OUT049,847.5644941214475
108,FDJ03,OUT027,1532.2873678344486
109,FDU14,OUT018,3530.9707948468326
110,FDB33,OUT010,412.4219466573188
111,FDP27,OUT046,3222.655075469813
112,FDO38,OUT010,106.9110999407576
113,FDE28,OUT027,5810.638240377161
114,FDO27,OUT035,1576.0569154666841
115,DRL23,OUT027,2804.8756166007315
116,FDS28,OUT046,965.1788556419433
117,FDX24,OUT013,1491.4838243790177
118,FDZ02,OUT035,1594.2854766682544
119,FDL46,OUT045,1916.9362604788898
120,FDS60,OUT027,4726.2817419023795
121,NCO06,OUT017,808.3241851424755
122,FDO16,OUT035,1425.1743211481444
123,FDC60,OUT049,1363.379697293041
124,FDA48,OUT018,3223.9704528953043
125,FDZ36,OUT027,4943.9168272740735
126,FDK27,OUT045,1915.991229799709
127,FDW23,OUT018,706.6274383687132
128,FDM14,OUT018,1520.3964441527853
129,FDM14,OUT013,1728.648480665494
130,FDW60,OUT018,2733.20861461849
131,FDE21,OUT013,1947.4544077742446
132,NCM42,OUT035,1827.4468733064195
133,FDY59,OUT010,241.11970421919932
134,DRI49,OUT049,1335.5681226893657
135,FDT28,OUT019,419.60299132647697
136,FDQ22,OUT018,704.9120389829156
137,FDR60,OUT049,1206.2907907757915
138,FDC50,OUT019,260.6620153251647
139,FDV24,OUT013,2489.561422414357
140,DRF48,OUT010,549.8560336804512
141,FDQ47,OUT046,813.5995886537412
142,DRN36,OUT049,1627.656714675733
143,NCY06,OUT035,2170.6956768109485
144,FDE52,OUT035,1530.637883515432
145,NCB54,OUT045,2054.1017769373907
146,NCF31,OUT035,2580.1980654522267
147,FDJ08,OUT027,5025.997217408628
148,NCC07,OUT017,1722.412543361002
149,NCD19,OUT027,1715.2946329000897
150,FDL46,OUT049,1957.7186321085742
151,FDM20,OUT045,3875.5969075530575
152,NCI06,OUT010,529.5757992562974
153,DRM11,OUT035,4044.390864356028
154,NCH07,OUT018,2272.627011236849
155,FDS23,OUT013,2078.041972941715
156,FDO49,OUT018,707.4790389351144
157,FDS35,OUT049,1153.4941330173228
158,DRK39,OUT045,1306.7714239177012
159,DRI39,OUT049,1003.4146930449479
160,FDV04,OUT017,2505.579534285806
161,NCN14,OUT035,3204.221204327763
162,FDH08,OUT013,3727.2377342560085
163,FDS20,OUT046,3129.3547067630716
164,FDV40,OUT049,1202.6039640779413
165,FDZ48,OUT010,268.9386611646819
166,FDS24,OUT027,2353.0555123002814
167,FDK44,OUT049,2911.1799878217707
168,FDS48,OUT045,2464.6761957308518
169,FDK26,OUT010,540.5677716829525
170,FDD23,OUT045,3160.0444379382243
171,NCH54,OUT017,2671.480576074098
172,NCP14,OUT010,277.37867571164566
173,FDM60,OUT010,-2.004391389095872
174,FDV24,OUT017,2500.2769340908285
175,FDH08,OUT018,3364.7401332698983
176,FDS12,OUT027,3389.4879106819217
177,FDR39,OUT027,4910.211400362154
178,FDP12,OUT027,1548.498868204655
179,DRF60,OUT027,5842.298734828573
180,FDC09,OUT035,1716.5073159327899
181,FDF50,OUT018,3030.2547663825585
182,FDG28,OUT035,4050.411184835704
183,NCE19,OUT017,855.7782202890412
184,NCM53,OUT010,268.9386611646819
185,NCN18,OUT049,1738.9127049998237
186,FDF32,OUT035,3382.4236448258694
187,FDF11,OUT013,3909.155748380288
188,DRI59,OUT049,3669.79318952259
189,NCG54,OUT035,2885.2681137715945
190,FDM44,OUT046,1623.9698879778828
191,FDT57,OUT018,3477.872209435126
192,FDV24,OUT046,2499.8256467486863
193,FDI50,OUT019,648.5839226042119
194,FDS09,OUT035,847.5997532027129
195,NCC31,OUT027,4014.9390909862136
196,FDQ07,OUT019,620.0356865729998
197,FDC22,OUT017,3225.6378229841466
198,FDZ56,OUT046,2809.4565855277215
199,FDZ40,OUT019,51.55448348745858
200,FDS46,OUT027,3141.604017961142
201,DRD24,OUT045,2063.2236777508683
202,FDV45,OUT017,3229.684314102986
203,FDL26,OUT045,2463.604165578669
204,FDA56,OUT018,1740.5650381995513
205,FDN27,OUT046,1955.7015712772102
206,FDM20,OUT049,3946.779756502854
207,FDO16,OUT017,1333.602579876207
208,FDL03,OUT035,3319.753393884387
209,FDE58,OUT046,1956.6466019563911
210,FDI02,OUT027,2911.2936873910244
211,NCC55,OUT019,13.428256960822637
212,FDR03,OUT018,3120.899999220934
213,FDB14,OUT017,1505.1305655516178
214,FDR45,OUT013,3943.0347651917186
215,NCN07,OUT017,2093.3183750778535
216,FDM51,OUT019,287.0271211823067
217,FDT52,OUT027,5895.911719581108
218,FDL26,OUT046,2503.3145070561704
219,NCZ42,OUT046,3920.922634205154
220,DRI47,OUT019,389.85082331194803
221,FDW40,OUT013,2092.1121640826846
222,FDN34,OUT046,2809.9709848685493
223,FDS01,OUT035,3064.9327460832988
224,NCG55,OUT045,1918.0082906310727
225,FDC11,OUT035,1441.2206558243893
226,FDX35,OUT018,3309.6787117598506
227,NCB06,OUT046,2508.1027079103196
228,FDR09,OUT019,730.233191573333
229,FDC53,OUT017,1505.688196362973
230,FDY45,OUT013,3936.5155321685243
231,FDA22,OUT010,475.9163495843693
232,FDE02,OUT035,1581.0484372647043
233,FDW21,OUT045,1600.2565403169426
234,FDV34,OUT046,1157.0976233416975
235,FDS59,OUT049,1737.4100435092873
236,NCW17,OUT017,2095.3354359092177
237,NCK54,OUT046,1957.7186321085742
238,FDG17,OUT019,735.3165426840574
239,FDG35,OUT017,2911.20064382556
240,FDD08,OUT010,-4.300312961839609
241,NCO07,OUT017,3513.4404091923843
242,FDJ10,OUT010,360.5537725744707
243,FDW36,OUT017,1623.3491451678417
244,FDW21,OUT010,266.704792620993
245,FDY19,OUT017,1958.1699194507164
246,DRE03,OUT013,808.1361242771306
247,NCC55,OUT049,815.5145772759743
248,FDH52,OUT010,61.79055121276315
249,FDO09,OUT017,3946.673413033641
250,FDU43,OUT045,3853.7511062138983
251,FDX09,OUT010,484.26250278357475
252,FDH40,OUT019,190.85059088655748
253,FDW58,OUT017,1624.4211753200248
254,FDC47,OUT017,3704.9279074810456
255,NCR41,OUT035,1501.859344379704
256,DRG49,OUT035,4046.4079251873923
257,FDC52,OUT027,4015.4534903270414
258,FDY13,OUT046,1191.420840291518
259,FDY35,OUT013,809.7099959623813
260,FDI35,OUT017,3113.898497056511
261,NCU18,OUT049,2101.8619890761865
262,FDY33,OUT018,2277.710362347573
263,FDC15,OUT027,4003.5157914701567
264,FDU01,OUT049,3130.9411362560822
265,NCU42,OUT046,2809.4565855277215
266,NCV29,OUT018,2725.337833969785
267,NCY30,OUT017,3130.8780242573966
268,FDQ46,OUT049,1793.100450174407
269,FDG58,OUT027,3999.241989956835
270,FDK33,OUT017,3515.457470023748
271,NCD07,OUT045,1918.5208509094261
272,NCX29,OUT027,3617.50596580167
273,NCT42,OUT013,2407.422882224004
274,DRN59,OUT035,817.6813388538455
275,FDI44,OUT035,1278.4154923218143
276,FDA45,OUT049,2971.8376873170364
277,FDP31,OUT045,1127.6450270195896
278,FDY01,OUT046,1944.3430887144345
279,FDT09,OUT018,1872.541673665623
280,DRH03,OUT027,2506.5633339386113
281,FDA36,OUT018,2845.8136082480696
282,NCF31,OUT017,2503.765794398312
283,FDG14,OUT049,2503.828906396998
284,FDG28,OUT027,5895.911719581108
285,FDU14,OUT049,3946.779756502854
286,FDY47,OUT019,368.3100203829117
287,FDI56,OUT049,1433.539565100858
288,DRD01,OUT013,950.7618121394567
289,FDM22,OUT046,864.5550419155509
290,FDH33,OUT013,807.0640941249476
291,DRZ24,OUT013,1942.8935173145778
292,NCQ38,OUT046,1621.9528271465188
293,FDO16,OUT027,2337.966577759329
294,FDU07,OUT027,3998.727590616007
295,NCB07,OUT013,3217.896772274331
296,FDU48,OUT045,2062.151647598685
297,NCM43,OUT045,2625.61505972524
298,FDR31,OUT010,381.8614389528427
299,DRK49,OUT018,704.9120389829156
300,NCI30,OUT010,763.1657804488757
301,DRD60,OUT017,3115.9155578878754
302,NCG19,OUT046,3877.760198030156
303,FDH12,OUT035,1670.9892804730202
304,FDM32,OUT035,1597.2599376349108
305,FDM27,OUT035,2578.6954039616903
306,NCU53,OUT027,4251.807523175713
307,NCQ18,OUT046,1622.8978578256997
308,FDS10,OUT013,3000.836167891559
309,FDB33,OUT027,4019.7272918403633
310,FDI12,OUT013,1325.8182976958637
311,NCW42,OUT013,3580.8205548262895
312,NCC06,OUT018,1859.4084518936045
313,FDW02,OUT017,2092.3609749425614
314,NCD43,OUT017,1624.4211753200248
315,FDM57,OUT018,1187.7621455590256
316,FDA58,OUT017,3878.211485372298
317,FDK56,OUT046,3129.3547067630716
318,FDP52,OUT045,3730.300900764288
319,FDW20,OUT018,1859.9186314189049
320,FDS52,OUT049,1623.9698879778828
321,NCT29,OUT018,1721.1709052829203
322,NCL54,OUT013,2900.9157634874414
323,FDC05,OUT045,3239.440588590741
324,FDF34,OUT035,3321.770454715751
325,FDP03,OUT027,3335.6539559910625
326,FDD32,OUT010,177.84865886254147
327,FDZ10,OUT045,2055.173807089574
328,FDZ40,OUT035,902.536557324195
329,FDD51,OUT018,703.8400088307326
330,NCY30,OUT019,518.5413478679932
331,FDP58,OUT017,3519.1442967215985
332,FDV49,OUT017,3947.231043844996
333,FDY24,OUT019,39.64728680407961
334,NCO55,OUT017,1719.323452377455
335,FDR13,OUT017,1958.684318791544
336,FDS51,OUT017,1128.2104075032971
337,FDP26,OUT045,1594.1011590540352
338,NCB54,OUT027,3389.4879106819217
339,FDF32,OUT017,3228.6122839508025
340,FDN31,OUT018,2940.760438403495
341,DRM48,OUT017,808.3241851424755
342,FDN20,OUT049,2809.4565855277215
343,DRL01,OUT046,3847.1717337309274
344,FDV56,OUT049,1722.4756553596876
345,DRH13,OUT027,2806.8926774320958
346,FDA03,OUT017,2248.9743932564934
347,FDF47,OUT027,5462.536319665245
348,FDX32,OUT046,2247.4510757621683
349,FDX57,OUT049,1504.6792782094758
350,NCA30,OUT045,3166.305956278794
351,FDO49,OUT013,809.7099959623813
352,FDL04,OUT019,270.7639138441209
353,DRM48,OUT035,816.6218665094227
354,FDR16,OUT013,3500.6954672284373
355,NCC19,OUT018,2943.5478679414755
356,NCE42,OUT045,3807.6493792325423
357,FDY24,OUT017,852.8037593223853
358,FDH19,OUT049,2910.2349571425902
359,FDJ46,OUT013,2901.987793639624
360,FDN45,OUT010,636.3292771595561
361,FDY08,OUT035,2179.2599468130707
362,FDZ37,OUT035,1456.4747560593037
363,NCT30,OUT045,791.8928679560827
364,DRY23,OUT018,708.923359941457
365,NCZ30,OUT018,1725.030364973084
366,FDC44,OUT018,1578.0730496348522
367,FDB45,OUT035,1715.992916591962
368,FDY04,OUT013,2657.592637040603
369,FDM27,OUT046,2513.676910254333
370,FDZ43,OUT017,3946.673413033641
371,FDT39,OUT019,435.86619866466276
372,NCC06,OUT019,354.3967811555449
373,FDL15,OUT027,3996.710529784643
374,FDL57,OUT017,3946.673413033641
375,FDU08,OUT046,1623.9698879778828
376,FDK40,OUT017,3943.7421835375126
377,FDQ12,OUT010,631.4144536164463
378,FDS48,OUT017,2504.8378245504955
379,FDP09,OUT045,3443.8233337318097
380,FDW21,OUT049,1620.9954270112266
381,FDY25,OUT035,3207.4872991598127
382,DRE13,OUT017,1333.602579876207
383,FDV43,OUT019,4.100448340892854
384,FDD22,OUT045,1712.5328363834599
385,FDM46,OUT019,251.3342067052347
386,NCO30,OUT010,533.7690211864306
387,FDM25,OUT046,2909.677326331235
388,NCN41,OUT049,1974.968704720839
389,FDU24,OUT045,1480.4515312077078
390,FDZ50,OUT046,3129.869106103899
391,FDP45,OUT013,3937.0299315093516
392,NCM54,OUT045,2054.1017769373907
393,FDW10,OUT019,486.4501166057719
394,FDP20,OUT017,2094.2634057570344
395,FDK32,OUT046,2503.828906396998
396,FDN52,OUT049,1366.868557600525
397,FDM58,OUT045,1718.6882176463673
398,FDZ46,OUT027,2807.632626042853
399,NCA18,OUT018,1721.1709052829203
400,FDD35,OUT046,1955.7015712772102
401,NCK31,OUT035,833.8928392240521
402,FDI40,OUT027,2693.2042083617393
403,FDT50,OUT019,275.8472649548453
404,NCT06,OUT046,2667.342462034105
405,FDT31,OUT035,3321.256055374923
406,FDT45,OUT049,845.9780646284366
407,FDT13,OUT045,3059.243887965458
408,FDO50,OUT045,1411.720586944161
409,NCU18,OUT010,348.43853441656006
410,NCR54,OUT049,3228.1609966086608
411,NCO18,OUT018,2719.5339049565437
412,FDU09,OUT045,936.7982894720183
413,FDT13,OUT018,2941.832468555678
414,FDE09,OUT046,1797.6613406340737
415,NCK53,OUT019,270.7639138441209
416,FDG45,OUT049,3511.5173223741226
417,DRH15,OUT035,816.6218665094227
418,FDO21,OUT019,644.6722722446609
419,FDD14,OUT027,4898.398791814303
420,FDC09,OUT046,1624.4842873187104
421,FDH45,OUT027,1532.2873678344486
422,FDV32,OUT046,1152.0223335412031
423,FDG12,OUT035,2046.7671997559978
424,FDS32,OUT013,2093.184194234868
425,NCL55,OUT018,3540.006590769928
426,DRE01,OUT035,4049.896785494876
427,DRE15,OUT049,1202.6039640779413
428,NCL42,OUT045,3875.5969075530575
429,FDP31,OUT013,1115.8777926710475
430,FDN33,OUT018,1317.0015306439432
431,FDZ59,OUT046,2663.2959709152665
432,FDE45,OUT010,483.4855552001866
433,FDJ07,OUT013,1941.9484866353969
434,FDQ45,OUT018,2848.1095298208133
435,FDM33,OUT027,5427.243138954355
436,FDO15,OUT010,123.1743072789427
437,FDM46,OUT013,1490.4117942268344
438,FDR03,OUT045,3324.9928215696614
439,FDY49,OUT018,2543.3285682249175
440,FDQ60,OUT045,1918.5307512821303
441,FDW10,OUT049,2912.252017973954
442,FDO51,OUT049,814.6716188059243
443,FDJ40,OUT018,1524.4077651113266
444,FDS20,OUT018,2841.9541485579057
445,FDU45,OUT013,1787.9115156405717
446,FDV02,OUT035,2885.2681137715945
447,FDN09,OUT046,3946.779756502854
448,NCM55,OUT027,4925.173866731675
449,FDN23,OUT018,2029.4395864718529
450,FDY31,OUT010,376.77808784211834
451,FDW03,OUT010,293.64188304983145
452,FDD14,OUT046,3129.3547067630716
453,FDV23,OUT017,2081.6683396578796
454,DRI03,OUT045,2869.052816188969
455,FDN13,OUT035,1697.7643553903918
456,FDF45,OUT027,1904.6325344198826
457,FDU46,OUT035,1459.9636163667874
458,FDB57,OUT049,3592.6712086536304
459,FDV12,OUT049,1624.4842873187104
460,FDQ58,OUT013,2490.6334525665397
461,NCA18,OUT017,1944.279976715749
462,FDH52,OUT049,1076.1491773344874
463,FDM24,OUT018,2275.709591031404
464,NCP43,OUT027,4926.422900732361
465,NCO18,OUT019,487.52214675795494
466,FDM32,OUT017,1512.2074293861674
467,NCL07,OUT017,810.4556876390814
468,FDK03,OUT013,3935.957901357169
469,FDP59,OUT017,1621.8464836773055
470,FDQ24,OUT049,3946.779756502854
471,FDQ16,OUT018,1520.3964441527853
472,FDU44,OUT013,2656.5206068884204
473,FDH28,OUT010,-2.004391389095872
474,FDV28,OUT019,9.183799451617233
475,FDM22,OUT045,836.1744757456258
476,FDR56,OUT046,3228.675395949488
477,FDV39,OUT049,3227.2159659294794
478,FDU37,OUT019,190.85059088655748
479,FDQ11,OUT010,782.2164173250421
480,FDX02,OUT045,3557.2121717530763
481,NCS42,OUT018,1309.1307499952377
482,FDY57,OUT027,2490.8662329092326
483,FDB21,OUT049,3942.218866043187
484,FDE28,OUT017,3740.8844754286083
485,FDQ55,OUT017,1798.6270273170435
486,FDA48,OUT049,3628.395020702873
487,FDZ19,OUT045,2867.9807860367855
488,NCC43,OUT045,3871.0360170933905
489,NCV18,OUT046,1332.079262381882
490,NCA42,OUT018,2276.4864709270123
491,FDY45,OUT046,3946.779756502854
492,NCC30,OUT045,2951.7588178676633
493,FDM57,OUT013,1325.8182976958637
494,FDL09,OUT010,464.83134451525757
495,FDB09,OUT027,3337.156617481599
496,FDT44,OUT035,2033.5301603524474
497,NCT06,OUT027,4251.807523175713
498,FDX26,OUT049,3129.3547067630716
499,FDK32,OUT013,2497.809139571874
500,DRA12,OUT046,2102.93401922837
501,FDO46,OUT010,552.151955253195
502,FDE52,OUT013,1357.676363418378
503,NCH42,OUT045,3666.3191096405417
504,FDV08,OUT035,829.3445065721455
505,FDB47,OUT018,3191.727246106776
506,FDC28,OUT010,271.72609070266253
507,FDD22,OUT046,1796.5893104818906
508,FDS07,OUT027,3128.27170603753
509,DRI13,OUT045,3443.8233337318097
510,FDG32,OUT018,3261.280694437557
511,FDU14,OUT017,3947.231043844996
512,FDD28,OUT019,56.162077959992075
513,NCP41,OUT017,1739.3639923419657
514,FDS08,OUT049,2907.691127514287
515,FDX47,OUT045,2469.0418265568783
516,FDC53,OUT019,271.83594399630397
517,FDQ19,OUT035,4063.1338248984266
518,FDL14,OUT045,2466.2706865340924
519,FDM33,OUT019,656.5233508707338
520,FDA51,OUT045,1772.8759628209505
521,FDZ27,OUT018,707.6994685208963
522,FDT04,OUT046,820.2734341260077
523,DRC13,OUT049,2081.3316823326286
524,FDR16,OUT027,5350.6069116639865
525,FDQ03,OUT027,5840.796073338037
526,FDE38,OUT035,2897.9907538343173
527,DRH23,OUT027,1805.3273090603652
528,FDT11,OUT019,563.3753649984874
529,FDD09,OUT035,3118.912365877644
530,FDR40,OUT045,1316.4156654880926
531,FDX07,OUT017,3131.392423598224
532,FDR07,OUT035,1581.0484372647043
533,FDA51,OUT017,1820.0656715074958
534,FDT59,OUT019,647.0509957802974
535,FDF20,OUT017,3229.684314102986
536,FDR13,OUT045,1924.6762321723336
537,FDY26,OUT049,3515.520582022434
538,FDW04,OUT017,2094.7778050978623
539,FDK52,OUT017,3704.9279074810456
540,FDN60,OUT049,2508.1027079103196
541,FDM09,OUT019,470.2920589040318
542,FDP46,OUT049,1366.3541582596972
543,FDB50,OUT019,185.7672397758331
544,NCQ29,OUT049,3945.707726350671
545,FDP16,OUT027,5911.608820610487
546,FDX33,OUT018,2435.878086319176
547,FDP07,OUT010,558.1567889355617
548,FDN22,OUT046,3946.2221256914986
549,FDF39,OUT049,3947.2941558436814
550,FDS21,OUT017,1058.1396814619789
551,NCM42,OUT013,1714.7274044002409
552,FDK50,OUT019,442.38561197128024
553,DRF13,OUT027,3633.7174661718764
554,FDH35,OUT018,2440.9025612837295
555,FDP60,OUT018,1404.381596978661
556,DRJ49,OUT027,3405.699411052128
557,NCT42,OUT019,407.34632635171715
558,FDE38,OUT049,2805.9677252202378
559,FDI04,OUT049,3306.054485770641
560,NCH54,OUT045,2468.3923664328186
561,FDT56,OUT049,1003.9290923857757
562,DRD15,OUT018,3444.6252854907034
563,FDV58,OUT013,3218.968802426514
564,FDP21,OUT049,3127.452275948598
565,FDH05,OUT013,3835.8354792444143
566,FDR10,OUT027,4251.807523175713
567,NCP06,OUT045,2464.6761957308518
568,FDF33,OUT049,1716.455334880012
569,DRK37,OUT013,3215.47994211903
570,DRH49,OUT045,1311.332314377368
571,FDT58,OUT013,2798.120331041209
572,FDD41,OUT018,1412.252377627366
573,FDP40,OUT018,1528.2672248014906
574,FDM51,OUT027,2707.398647900582
575,FDO45,OUT010,177.84865886254147
576,FDW33,OUT010,274.591246173665
577,FDY24,OUT045,832.6856154381421
578,FDB10,OUT010,710.0671950371689
579,FDM40,OUT035,2178.745547472243
580,NCI06,OUT017,3114.843527735692
581,FDW12,OUT019,383.754318195211
582,FDX48,OUT027,4015.4534903270414
583,NCW05,OUT027,2790.6811770618892
584,FDX27,OUT017,1505.1305655516178
585,DRM37,OUT045,3234.357237480017
586,FDA38,OUT045,3883.1962320386647
587,FDR36,OUT046,812.5401163093184
588,FDZ45,OUT046,3305.5400864298135
589,FDG05,OUT017,2509.0683945932897
590,FDK28,OUT013,3931.9546417088573
591,FDV47,OUT045,1308.243223393821
592,FDN21,OUT045,2626.560090404421
593,FDP20,OUT027,3310.298817796922
594,FDI35,OUT045,3054.1056353561435
595,DRY23,OUT013,811.822950974981
596,FDA56,OUT017,1976.492022215164
597,FDB09,OUT013,2072.9698888127723
598,NCO26,OUT027,3141.089618620314
599,FDQ49,OUT018,2284.102017720885
600,FDI52,OUT027,3159.4117213847617
601,FDZ44,OUT027,3157.3011189905205
602,FDZ09,OUT018,2430.794735208451
603,FDY03,OUT049,1795.0866489913544
604,NCG42,OUT017,2101.854668932412
605,DRI13,OUT027,5366.3040126933665
606,FDQ32,OUT013,2073.4842881535997
607,FDW16,OUT035,1530.637883515432
608,FDU27,OUT046,817.0884489612249
609,FDR28,OUT010,443.8606844538383
610,FDQ49,OUT010,426.5410936911385
611,FDS37,OUT046,1941.411859218306
612,FDW26,OUT018,3229.0538040060283
613,FDX12,OUT018,3536.054145957557
614,NCP06,OUT013,2494.122312874024
615,FDW45,OUT010,373.9906583041377
616,NCN30,OUT049,1505.2369090208313
617,FDN24,OUT049,845.9780646284366
618,NCL41,OUT027,1547.9844688638273
619,FDR02,OUT019,283.01262334088096
620,FDD09,OUT010,530.6478294084804
621,FDS33,OUT010,212.49415412303665
622,FDU22,OUT045,1916.9362604788898
623,FDI53,OUT013,2656.5206068884204
624,DRH01,OUT049,2911.1799878217707
625,FDX32,OUT013,2092.1121640826846
626,NCP30,OUT018,704.9120389829156
627,FDB60,OUT045,3158.050177811047
628,FDB14,OUT049,1504.6792782094758
629,NCP02,OUT035,1039.4937776391191
630,FDJ10,OUT017,2099.3388154516724
631,FDG34,OUT046,1739.4271043406513
632,NCB18,OUT017,1367.8774757540223
633,FDM16,OUT049,1188.446379324862
634,FDW25,OUT018,1186.538254138465
635,FDB35,OUT010,253.5234518672214
636,DRN11,OUT013,2231.166530948163
637,FDF41,OUT019,730.233191573333
638,FDH16,OUT045,1411.720586944161
639,NCQ50,OUT018,3192.799276258959
640,DRH23,OUT018,844.5069763458887
641,DRJ37,OUT013,2493.0502827218406
642,DRJ24,OUT027,4927.190927563039
643,FDY16,OUT035,3206.7526644999552
644,FDQ27,OUT045,1598.2394794855786
645,FDZ33,OUT045,2380.3935952361326
646,FDF29,OUT045,2068.3070288615927
647,FDA08,OUT049,2666.7848312227497
648,FDG31,OUT046,1154.566163169506
649,FDE34,OUT019,547.0448198017193
650,NCR30,OUT027,2037.5111483449964
651,FDV33,OUT035,4066.6226852059103
652,DRZ24,OUT018,1725.030364973084
653,NCL54,OUT035,2988.063546217827
654,FDR12,OUT049,2912.766417314782
655,NCC54,OUT046,3945.707726350671
656,DRN59,OUT013,809.1955966215535
657,FDX50,OUT019,281.9405931886979
658,FDV31,OUT027,4710.070241532173
659,NCA29,OUT027,4591.0189860376695
660,FDW60,OUT049,2909.277557007298
661,FDX08,OUT017,3130.8780242573966
662,DRD49,OUT013,3867.4959736958263
663,FDD33,OUT046,3795.328368451177
664,FDW35,OUT013,809.1955966215535
665,FDJ36,OUT017,1623.8635445086693
666,FDV51,OUT035,2863.726881570379
667,FDW36,OUT046,1720.8892258666767
668,FDH35,OUT046,2664.253371050558
669,NCS30,OUT027,3397.537781343216
670,FDN49,OUT017,809.8980568277261
671,FDL08,OUT018,3529.89876469465
672,FDI09,OUT013,3908.0837182281048
673,FDP19,OUT018,1858.3364217414214
674,FDU21,OUT010,-2.004391389095872
675,NCP41,OUT045,1696.653417554679
676,FDY10,OUT013,1786.325086147561
677,FDP12,OUT018,709.99539009364
